,author
967,Katie Roehrick
968,Katrin Weller
969,Kaustav Basu
970,Kayla Haye
971,Kayla de la Haye
972,Kazuhiro Ueda
973,Kazutoshi Sasahara
974,Keenan Jones
975,Kehan Li
976,Keigo Kusumegi
977,Kelsey Linnell
978,Kenji Itao
979,Kenneth Joseph
980,Kenneth Wapman
981,Keran Rong
982,Kevin Brito
983,Kevin S Chan
984,Kevin S. Chan
985,Keyon Vafa
986,Khyati Mahajan 
987,Kieran Mepham
988,Kimon Kieslich
989,King-wa Fu
990,Kinga Makovi
991,Kira von Kleist
992,Kiran Garimella
993,Kiran Sharma
994,Kirill Martynov
995,Kiyoshi Izumi
996,Kiyoshi Kanazawa
997,Kleber A. Oliveira
998,Koen Schoors
999,Kokil Jaidka
1000,Kongmeng Liew
1001,Konstantin Pogorelov
1002,Kostas Stathoulopoulos
1003,Krish Perumal
1004,Krishna Gummadi 
1005,Krishnaprasad Thirunarayan
1006,Kristen Altenburger
1007,Kristen Flaherty
1008,Kristina Gligoric
1009,Kristina Lerman
1010,Kristina Lerman 
1011,Krisztian Varga
1012,Krisztián Boros
1013,Ksenia Mukhina
1014,Kuansan Wang
1015,Kunhao Yang
1016,Kunihiko Kaneko
1017,Kunihiro Miyazaki
1018,Kunwoo Park
1019,Kush R. Varshney
1020,Kyriacos Vitalis
1021,Kyriaki Kalimeri
1022,Kyriaki Kalimeri 
1023,Lada Adamic 
1024,Laila Wahedi
1025,Laiyang Ke
1026,Lakshmi Subramanian
1027,Lan Jiang
1028,Lan Luo
1029,Lana Bilalova
1030,Lana Sanyoura
1031,Lanu Kim
1032,Lara Lofdahl
1033,Laszlo Lorincz
1034,Launy Schweiger
1035,Laura Alessandretti
1036,Laura Hernandez
1037,Laura Hernández
1038,Laura Laugwitz
1039,Laurent Cordonier
1040,Lea Brandt
1041,Leah Rosenzweig
1042,Leib Margarita
1043,Leila Zia
1044,Lena Clever
1045,Lena Frischlich
1046,Leo Bauer
1047,Leo Ferres
1048,Leonardo Ferreira
1049,Leonardo Nicoletti
1050,Leonie Neuhäuser
1051,Leping Wang
1052,Lev Manovich
1053,Levin Brinkmann
1054,Lewis Mitchell
1055,Lia Bozarth
1056,Liangwei Chen
1057,Liat Ayalon
1058,Likun Cao
1059,Lili Aunimo
1060,Lili Miao
1061,Lilia Perfeito
1062,Lillio Mok
1063,Lin Wang
1064,Lina Ramos
1065,Ling Dong
1066,Lingfei Wu
1067,Lingfei Wu 
1068,Lingqing Jiang
1069,Linzhuo Li
1070,Lionel Robert
1071,Lisa Friedland
1072,Lise Getoor
1073,Lisette Espín-Noboa
1074,Lizhen Liang
1075,Lluc Font-Pomarol
1076,Lluis Danus
1077,Longqi Yang
1078,Lorena Cano-Orón
1079,Lorenzo Gabrielli
1080,Lorenzo Lucchini
1081,Lorien Jasny
1082,Lu Liu
1083,Lu Ou
1084,Luca Aiello
1085,Luca Belli
1086,Luca Carbone
1087,Luca Pappalardo
1088,Luca Rossi
1089,Luca Verginer
1090,Lucas Böttcher
1091,Lucas Maystre
1092,Luce le Gorrec
1093,Lucia Falzon
1094,Ludovico Napoli
1095,Luis Amaral
1096,Luis C. Reyes
1097,Luis Cueto-Felgueroso
1098,Luis Luque
1099,Luisa Fernanda Chaparro
1100,Lukas Richter
1101,Luke Archer
1102,Luke Dickens
1103,Lulu Peng
1104,Luping Wang
1105,Luz Angela Narvaez
1106,Ly Dinh
1107,Lydia Stone
1108,Lília Perfeito
1109,Maayan Levinson
1110,Madhav Joshi
1111,Mahmoudreza Babaei
1112,Maksim Tsvetovat
1113,Manal Saadi 
1114,Maneet Singh
1115,Manfred Schoch
1116,Maninder Kalra
1117,Manlio De Domenico
1118,Manoel Horta Ribeiro
1119,Manoel Ribeiro
1120,Manon Revel
1121,Mansi Sharma 
1122,Manuel Cebrian
1123,Manuel Garcia-Herranz 
1124,Manuel Herranz
1125,Manuel Tonneau
1126,Marc Keuschnigg
1127,Marc Rauckhorst
1128,Marc-Etienne Brunet
1129,Marcel Wittich 
1130,Marcin Waniek
1131,Marco Brambilla
1132,Marco Fiore
1133,Marco Gramaglia
1134,Marco Nadai
1135,Marco Tomassini 
1136,Marco Valtorta
1137,Margaret Hu
1138,Margaret McConnell 
1139,Margherita Ricotti
1140,Maria Bolsinova
1141,Maria Sahakyan
1142,Maria Teresa Pulido
1143,Mariano Beguerisse-diaz
1144,Mariano G. Beiró
1145,Mariano Gastón Beiró
1146,Marie Lindegaard 
1147,Marie Puren
1148,Marija Mitrović Dankulov
1149,Mariken A.C.G. van der Velden 
1150,Mariko Ito
1151,Marina Diakonova
1152,Marina Mancoridis
1153,Marinette Savonnet
1154,Mario Gutierrez-roig
1155,Mario Molina
1156,Marios Dikaiakos
1157,Marius Sältzer 
1158,Mark Alfano 
1159,Mark E. Whiting
1160,Mark Graus
1161,Mark Levene
1162,Mark Levine
1163,Mark Sutcliffe
1164,Mark Trappmann
1165,Mark Whiting
1166,Mark van der Loo
1167,Markus Hadler
1168,Markus Meierer 
1169,Markus Mobius
1170,Markus Reiter-Haas
1171,Markus Strohmaier
1172,Marloes Hagens
1173,Marloes Maathuis
1174,Marta C. Gonzalez
1175,Marta Rivera-Alba
1176,Marta Sales-Pardo
1177,Martijn Schoonvelde
1178,Martijn Schoonvelde 
1179,Martin Emmer
1180,Martin Hilbert
1181,Martin Lukac
1182,Martin Lukac 
1183,Martin Novák
1184,Martin Saveski
1185,Martina Szabo
1186,Martina Testori
1187,Marton Karsai
1188,Martyn Harris
1189,Mary Czerwinski
1190,Mary Sanford
1191,María Pereda
1192,Masahiro Kazama
1193,Masanori Takano
1194,Masashi Miura
1195,Masashi Toyoda
1196,Masha Krupenkin
1197,Masoomali Fatehkia
1198,Massimiliano Luca
1199,Massimo Riccaboni
1200,Matej Novak
1201,Mathew Hardy
1202,Matias Travizano
1203,Matteo Bohm
1204,Matteo Gagliolo
1205,Matthew Groh
1206,Matthew R. Deverna
1207,Matthewhew Baum
1208,Matthewhew Jones
1209,Matthewhew Roughan
1210,Matthewhew Turner
1211,Matthewhieu Nadini
1212,Matthewo Mildenberger
1213,Matthieu Nadini
1214,Matthijs van Leeuwen
1215,Mattia Gasparini 
1216,Mattia Samory
1217,Maurice Jakesch
1218,Mauricio Barahona
1219,Mauricio Gruppi
1220,Maurizio Porfiri
1221,Max Pellert
1222,Max Schindler
1223,Maxim Sytch
1224,Maxime Peyrard
1225,Maxime Stauffer
1226,Maxwell Aliapoulios
1227,Maya Josifovska
1228,Meeyoung Cha
1229,Mehwish Nasim
1230,Meiyappan Nagappan 
1231,Meiyi Ma
1232,Melanie Sage
1233,Melissa Ellamil
1234,Mengjie Cheng
1235,Meysam Alizadeh
1236,Mi Jin Lee
1237,Micah Epstein
1238,Michael Arnold
1239,Michael Bailey
1240,Michael Bernstein
1241,Michael Hoefer
1242,Michael Macy
1243,Michael Mathioudakis
1244,Michael Reiss
1245,Michael Ribers
1246,Michael S. Bernstein
1247,Michael Schaub
1248,Michael Smith
1249,Michael Sverdlov
1250,Michaela Maier
1251,Michaela Schippers
1252,Micheal Szell
1253,Michele Catasta
1254,Michele Coscia
1255,Michele Tizzoni
1256,Michiel Bakker
1257,Michio Hosaka
1258,Miguel Guevara
1259,Mihai Avram
1260,Mike Yeomans
1261,Mikhail Sirenko
1262,Mikhail Sirkenko
1263,Mikhail Sokolov
1264,Mikolaj Biesaga
1265,Milan Janosov
1266,Milan van den Heuvel
1267,Milena Tsvetkova
1268,Milo Trujillo
1269,Minali Aggarwal
1270,Ming Xiao
1271,Minje Choi
1272,Minnie Quartey
1273,Mirco Nanni
1274,Miriam Hurtado Bodell
1275,Miriam Koschate
1276,Miriam Koschate-reis
1277,Miriam Redi
1278,Miroslav Palanský
1279,Mirta Galesic
1280,Misha Teplitskiy
1281,Mohamad Hosseinioun
1282,Mohammad Amin
1283,Mohammad Amin Sadeghi
1284,Mohammad Rasoolinejad
1285,Mohammed Aleinzi
1286,Mohsen Bahrami
1287,Mohsen Mosleh
1288,Mohsen Sayyadiharikandeh
1289,Molly J. Crockett
1290,Mona Zubaidi
1291,Monica Alexander
1292,Monica Bhole
1293,Mor Naaman
1294,Morgan Frank
1295,Morgan Frank 
1296,Moritz Hoferer
1297,Moritz Laurer
1298,Moritz Müller
1299,Morteza Dehghani
1300,Motahhare Eslami
1301,Mounia Lalmas
1302,Mu-jung Cho
1303,Muhammad Bilal Zafar
1304,Munif Mujib
1305,Munmun Choudhury
1306,Munther Dahleh
1307,Muyang Li
1308,Mykola Makhortykh
1309,Myung Cho
1310,Márton Karsai
1311,Måns Magnusson
1312,N'Godjigui Junior Diarrassouba
1313,Nabeel Gillani
1314,Nadezhda Sokolova 
1315,Nan Zhang 
1316,Naoki Maejima
1317,Narayanamoorthy Nanditha
1318,Narges Azizi Fard
1319,Naseem Makiya
1320,Nat Gyenes
1321,Natalie Gallagher
1322,Nathan Hughes
1323,Nathante Teblunthuis
1324,Navid Madani
1325,Nazli Choucri
1326,Neave O’Clery
1327,Neda Paryab
1328,Neil Johnson
1329,Niccolo Pescetelli
1330,Niccolò Pescetelli
1331,Nicholas Beauchamp
1332,Nicholas Hagar
1333,Nicholas Johnson
1334,Nicholas Johnson-restrepo
1335,Nicholas LaBerge
1336,Nicholas Perello
1337,Nick Allum
1338,Nick Jones
1339,Nick Obradovich
1340,Nico Clever
1341,Nicola Castaldo
1342,Nicolas Cointe
1343,Nicolas Pares
1344,Nicolas Velasquez
1345,Nicolas Velazquez-hernandez
1346,Nicole B. Carnegie
1347,Nicole Nisbett
1348,Nicolo Cavalli
1349,Nicos Nicolaou
1350,Nik Lomax
1351,Niklas Dorner
1352,Nikolaus Parulian
1353,Nilam Ram
1354,Nils Köbis
1355,Nima Dehmamy
1356,Nir Grinberg
1357,Niraj Sitaula
1358,Nitin Agarwal
1359,Nora Ammann
1360,Norman Fiedler
1361,Nour Kteily
1362,Nuno Araujo
1363,Nuno Araujo 
1364,Nupur Baghel
1365,Oana Vuculescu
1366,Oceane Boulais
1367,Oliver Wieczorek
1368,Omkar Terse
1369,Onur Varol
1370,Onyi Lam
1371,Oral Okan
1372,Oren Lederman
1373,Orestis Papakyriakopoulos
1374,Oriol Artime
1375,Orsolya Ring
1376,Orsolya Vasarhelyi
1377,Osbert Bastani
1378,Ovidia Stanoi
1379,Ozan Aksoy
1380,P 
1381,P Kumar Sachin
1382,Pablo Lozano
1383,Pacheco Diogo
1384,Pakapol Supaniratisai
1385,Panos Ipeirotis
1386,Paolo Bajardi
1387,Paolo Parigi
1388,Paramveer Dhillon
1389,Parizad Bahardoost
1390,Park Sinchaisri
1391,Parrish Bergquist
1392,Patrick Forber
1393,Patrick Park
1394,Patrick Wolf
1395,Paul Expert
1396,Paul Guille-escuret
1397,Paul Resnick
1398,Paul Smaldino
1399,Paul Vicinanza
1400,Paulo Almeida 
1401,Peaks Krafft
1402,Pedro Morales
1403,Pedro Ramaciotti Morales
1404,Pedro Rio
1405,Pelin Bicen
1406,Penny Mealy
1407,Peter Davis 
1408,Peter Dodds
1409,Peter Ejbye-Ernst
1410,Peter Klimek
1411,Peter Krafft
1412,Peter Kraft
1413,Peter Much
1414,Peter Organisciak
1415,Petr Janský
1416,Petra Filkukova
1417,Petter Tornberg
1418,Petter Törnberg
1419,Philip Borgmann
1420,Philip Howard
1421,Philipp Kling
1422,Phoebe Yao
1423,Pierluigi Sacco
1424,Pierre Boyer
1425,Pietro Panzarasa
1426,Pietro Panzarasa 
1427,Pietro Rampazzo
1428,Pik-Mai Hui
1429,Pik-mai Hui
1430,Pingjing Yang
1431,Pj Lamberson
1432,Polina Mosolova
1433,Polina Revina
1434,Poong Oh
1435,Prakash Manandhar
1436,Prasanna Parasurama
1437,Priscilla Wong
1438,Priyam Bansal
1439,Prof Levene
1440,Przemyslaw Grabowicz
1441,Pui Yin Cheung
1442,Punyajoy Saha
1443,Pursey Heugens
1444,Qi Hao
1445,Qian Liu
1446,Qiankun Zhong
1447,Qiankun Zhong 
1448,Qiaozhu Mei
1449,Qin Lv
1450,Qing Ke
1451,Qinghua Yang
1452,R. Rio-chanona
1453,Rachel de Jong
1454,Radim Hladik
1455,Radomir Perzina
1456,Rainer Rilke
1457,Raj Chetty
1458,Raluca Gui
1459,Ramaswami Mahalingam
1460,Ramon Villa-Cox
1461,Rebekah Overdorf
1462,Rediet Abebe
1463,Reham Al Tamime
1464,Reid McIlroy-Young
1465,Reid Mcilroy-young
1466,Renata Nemeth
1467,Rene Kizilcec
1468,Renita Murimi
1469,Rens Wilderom
1470,Rense Corten
1471,Renzhe Yu
1472,Renáta Németh
1473,René Algesheimer
1474,Rezvaneh Rezapour
1475,Rhys Leahy
1476,Ricarda Schafer
1477,Riccardo Di Clemente
1478,Riccardo Gallotti
1479,Richard Everson
1480,Richard Mole
1481,Richard Zemel
1482,Ridhi Kashyap
1483,Ridwan Alam
1484,Rinat Sergeev
1485,Ringo Ho
1486,Rishabh Kaushal
1487,Rishabh Mehrotra
1488,Rishemjit Kaur
1489,Risto Conte Keivabu
1490,Ritesh Kumar
1491,Robb Willer
1492,Robert Eyre
1493,Robert Laubacher
1494,Robert Mahari
1495,Robert West
1496,Robin Engelhardt
1497,Rodrigo Costas
1498,Roel Faber
1499,Roger Guimera
1500,Roger Guimerà
1501,Roland Filippi
1502,Roland Toth
1503,Roland von Horn
1504,Rory Smead
1505,Rosa Alberto
1506,Rosa Benito
1507,Roshan Santhosh
1508,Roshi Nateghi
1509,Rossano Schifanella
1510,Roy Lay-Yee
1511,Ruben Bach
1512,Ruben Juanes
1513,Rudy Arthur 
1514,Ruilin Chen
1515,Russell Wang
1516,Ryan Gallagheer
1517,Ryan Skorupski
1518,Ryan Whalen
1519,Ryen W White
1520,Ryo Hamawaki
1521,Ryota Kobayashi
1522,Rémi Perrier
1523,S R
1524,Sabin Roman
1525,Sabina Hartnett
1526,Sadamori Kojaku
1527,Sagar Kumar
1528,Sahil Loomba
1529,Sahiti Sarva
1530,Sairam Gurajada
1531,Salvatore Giorgi
1532,Sam Fankhauser
1533,Sam Zhang
1534,Samar Haider
1535,Sameer Srivastava
1536,Samin Aref
1537,Samira Shaikh
1538,Samuel Fraiberger
1539,Samuel Johnson
1540,Samuel Martin-gutierrez
1541,Samuel Mueller
1542,Samuel Way
1543,Samuel Woolley
1544,Sanaz Mobasseri
1545,Sandor Lera
1546,Sandra Wankmüller
1547,Sandrine Mouysset 
1548,Sang Hoon Lee
1549,Sang Lee
1550,Sang Yup Lee
1551,Sanguk Lee
1552,Santo Fortunato
1553,Saptarshi Ghosh
1554,Sara Mesquita
1555,Sara Tonelli 
1556,Sarah Bolden
1557,Sarah Rezaei
1558,Saranzaya Magsarjav
1559,Satyam Mukherjee
1560,Satyam Mukherjee 
1561,Saumya Bhadani
1562,Savvas Zannettou
1563,Sayan Ghosh
1564,Scott Althaus
1565,Scott Cunningham
1566,Scott Hale
1567,Scott Pauls
1568,Sean Fischer
1569,Sean Rintel
1570,Sebastian Bahr
1571,Sebastian Muller
1572,Sebastian Munoz-Najar Galvez
1573,Sebastian Munoz-najar
1574,Sebastian Steffen
1575,Sebastian Stier
1576,Selen Turkay
1577,Selim Balcisoy
1578,Selin Köksal 
1579,Seokyoung Min
1580,Sergey Gavrilets 
1581,Sergio Nasarre-Aznar
1582,Serina Chang
1583,Seth Frey
1584,Seungeon Lee
1585,Seyyedmilad Talebzadehhosseini
1586,Shagun Jhaver
1587,Shahad Althobaiti 
1588,Shamsi Iqbal
1589,Shan Huang
1590,Shane Johnson
1591,Shankar Kumar
1592,Shaojing Sun
1593,Sharad Goel
1594,Shen Yan
1595,Shengchun Huang
1596,Shi Chong
1597,Shimpei Okuda
1598,Shingo Takahashi
1599,Shirsendu Podder
1600,Shivangi Prasad
1601,Shloak Gupta
1602,Sho Izumo
1603,Shohei Doi
1604,Shohei Usui
1605,Shoko Wakamiya
1606,Shrikanth Narayanan
1607,Shuang Zhang
1608,Shubham Annadate
1609,Shubhanshu Mishra
1610,Shuhei Kurizaki
1611,Shujun Li
1612,Shun Yamaya
1613,Shuo Zhang
1614,Shweta Chopra
1615,Sian Brooke
1616,Sid Ravinutala 
1617,Siddhartha Sen
1618,Sijun He
1619,Silke Adam
1620,Simon Dedeo
1621,Simon Hegelich
1622,Simon Kuhne
1623,Simon Schweighofer 
1624,Simone Lackner
1625,Simone Righi
1626,Sinan Aral
1627,Siobhan Grayson
1628,Sjoerd Hooijmaaijers 
1629,Sofia Dokuka
1630,Sohan Dsouza
1631,Soichiro Morishita
1632,Solomon Messing
1633,Sono Shah
1634,Soojong Kim
1635,Sophie Lohmann
1636,Sourav Medya
1637,Soyun Ahn
1638,Sreeja Nair
1639,Srikanta Bedathur
1640,Stan Oklobdzija
1641,Stasa Milojevic
1642,Staša Milojević
1643,Stefan Mccabe
1644,Stefan Thurner
1645,Stefan Wojcik
1646,Stefania Ionescu
1647,Stefano Balietti
1648,Stefano Carattini
1649,Stefano Ceri
1650,Steffi Kohl
1651,Stephane Verguet
1652,Stephanie Greenberg
1653,Stephanie Sy
1654,Stephany Rajeh
1655,Steve Chang
1656,Steve Guo 
1657,Steve Scheinert
1658,Steven Skiena
1659,Stijn Hoorens
1660,Stuart Madnick
1661,Suat Özdemir
1662,Subhayan Mukerjee
1663,Subhro Das
1664,Sudhanshu Mishra
1665,Suman Kalyan Maity
1666,Suman Maity
1667,Summer Long
1668,Sundong Kim
1669,Sune Lehmann
1670,Sung-gook Choi
1671,Sungkyu Park
1672,Sungwon Han
1673,Sunje Paasch-colberg
1674,Susumu Nagayama
1675,Suzan Verberne 
1676,Sven Banisch
1677,Svetlana Zhuchkova
1678,Svetlana Zhuchkova 
1679,Swati Goel
1680,Sydney Wood
1681,Sylvan Zheng
1682,Sándor Juhász
1683,Sébastien Lerique 
1684,Taha Yasseri
1685,Tai-quan Peng
1686,Taichi Murayama
1687,Takaaki Ohnishi
1688,Takanori Nishida
1689,Takashi Shimada
1690,Takayuki Mizuno
1691,Talal Rahwan
1692,Talia Kaufmann
1693,Tamara Does
1694,Tanujit Chakraborty
1695,Tanya Berger-wolf
1696,Tanzhou Liu
1697,Tao Jia
1698,Tara Sowrirajan
1699,Tarun Jain
1700,Tasi-ching Lu
1701,Tatiana Lau
1702,Tatiana Trifonova
1703,Telmo Menezes
1704,Teodoro Criscione
1705,Thayer Alshaabi
1706,Theophile Carniel
1707,Thomas Delemotte
1708,Thomas F. Müller
1709,Thomas Grund
1710,Thomas Hills
1711,Thomas Niederkrotenthaler
1712,Thomas Robinson
1713,Thorsten Ruprechter
1714,Tiago Santos
1715,Tiago Teixeira Santos
1716,Tian Yang
1717,Tianyi Li
1718,Tiffany Lu
1719,Tiggey May
1720,Till Hoffmann 
1721,Tim A Majchrzak
1722,Tim König
1723,Tim Lomas
1724,Tim Schatto-Eckrodt
1725,Tim Wulf
1726,Timofey Yalov
1727,Timoté Vaucher
1728,Tina Comes
1729,Tiziano Piccardi
1730,Tobias Buchmann 
1731,Tobias Konitzer
1732,Tobin South
1733,Tom Griffiths
1734,Tom Mcandrew
1735,Tomislav Duricic
1736,Tomo Ogawa
1737,Tomosato Nishi 
1738,Tomáš Diviák
1739,Tong Zeng
1740,Toshiya Saito 
1741,Trivik Verma
1742,Tsuhan Chen
1743,Tugrulcan Elmas
1744,Tulin Inkaya
1745,Tung-Duong Mai
1746,Tyler Amos
1747,Tyler Amos 
1748,Tyson Pond
1749,Ulf Liebe
1750,Ulrike Hahn
1751,Utkarshani Ja
1752,Vadim Voskresenskii
1753,Valentin Hartmann
1754,Valeria D'Andrea
1755,Valeria Secchini
1756,Valerie Hase
1757,Vasiliki Voukelatou
1758,Vedran Sekara
1759,Veniamin Veselovsky
1760,Veronika Vincze
1761,Viacheslav A. Shibaev 
1762,Vicky Chuqiao Yang
1763,Vicky Yang
1764,Victor Chen
1765,Victor Suarez-Lledo
1766,Victor Veitch
1767,Victoria Medvec
1768,Viktor Aigenseer
1769,Viktoria Spaiser
1770,Vincent Lariviere
1771,Vincent Rollet
1772,Vivian Yang
1773,Vjosa Preniqi
1774,Volker Seiser
1775,Vsevolod Suschevskiy
1776,Walid Magdy
1777,Wan-ying Chang
1778,Wang Xinyue
1779,Wei Ai
1780,Wei Shan
1781,Wei Zhang
1782,Weifeng Li
1783,Weisi Guo
1784,Wen Chen
1785,Wenjun Liao 
1786,Wentao Xu
1787,William Hobbs
1788,William Sethares
1789,Wim Bernasco
1790,Winson Peng
1791,Wojtek Przepiorka 
1792,Wolf Schünemann
1793,Woo Jo
1794,Woo-Sung Jung
1795,Woo-sung Jung
1796,Wouter Van Atteveldt
1797,Wouter van Atteveldt
1798,Xi Chen
1799,Xi Zhang
1800,Xiancheng Li
1801,Xiang Ren
1802,Xiangfei Yuan
1803,Xiao Yang
1804,Xiaofan Wang
1805,Xiaoran Sun
1806,Xiaowen Dong
1807,Xiaoyao Yu
1808,Xiaoyu Zhang
1809,Xin Jin
1810,Xin Sui 
1811,Xinlan Emily Hu
1812,Xinyi Wang
1813,Xinyi Zhao
1814,Xu Wang
1815,Xuan Lu
1816,Xuanzhe Liu
1817,Yamir Moreno
1818,Yan Leng
1819,Yanbin Cao
1820,Yaneer Bar-yam
1821,Yang Wang
1822,Yanni Yang
1823,Yasuhiro Kitakami 
1824,Yelena Mejova
1825,Yelena Mejova 
1826,Yi-nung Huang
1827,Yian Yin
1828,Yibei Chen 
1829,Yifan Qian
1830,Yifan Qian 
1831,Yifan Yu
1832,Yifeng Wan
1833,Yilang Peng
1834,Yilin Huang
1835,Yiling Lin
1836,Yilmazcan Ozyurt
1837,Yimeng Yang
1838,Yiming Zhang
1839,Ying Kiat Tan
1840,Yingdan Lu
1841,Yingying Chen
1842,Yixin Zhou
1843,Yixue Wang
1844,Ylli Prifti
1845,Yonatan Lupu
1846,Yong Tan
1847,Yong-Yeol Ahn
1848,Yoosoon An
1849,Yoshihiko Suhara
1850,Yoshiki Ishikawa
1851,Yoshiki Ishikawa 
1852,Yphtach Lelkes
1853,Yu Jin Lee
1854,Yuan Yuan
1855,Yuanmo He
1856,Yuchen Liu
1857,Yuhao Du
1858,Yuki M. Asano 
1859,Yuki Ogawa
1860,Yukie Sano
1861,Yukiko Uchida
1862,Yulia Dementeva
1863,Yulia Tsvetkov
1864,Yulin Yu
1865,Yuner Zhu
1866,Yunkang Yang
1867,Yunus Tapan
1868,Yunwen Wang
1869,Yuri A. Amirkhanian
1870,Yutao Chen
1871,Yuval Benjamini 
1872,Yuxiao Dong
1873,Yy Ahn
1874,Yérali Gandica
1875,Zac Ioannidis
1876,Zach Fulker
1877,Zachary Neal
1878,Zachary Steinert-Threlkeld 
1879,Zachary Stine
1880,Zahra Sheikhbahaee 
1881,Zanele Munyikwa
1882,Zbigniew Smoreda
1883,Zeph M. C. van Berlo
1884,Zeyu Lyu
1885,Zhang Yundi
1886,Zhen Lei
1887,Zhen Zhu
1888,Zhen Zhu 
1889,Zhepeng Cen
1890,Zhifan Luo
1891,Zhishen Huang
1892,Zhongkai Sun
1893,Zhongyang He
1894,Zhuangyuan Fan
1895,Zijian An
1896,Zion Mengesha
1897,Ziv Epstein
1898,Ziwen Chen
1899,Zohar Neu 
1900,Zoltan Kmetty
1901,Zoltán Kmetty
1902,Zoya Khan
1903,Zuzana Sasovova 
1904,Ádám Kovács
1905,Ákos Jakobi
1906,Şeyda Ertekin
